,name_normalized,total_points
20635,aleksandar mitrovic,8
20636,aleksandar mitrovic,1
20637,aleksandar mitrovic,2
20638,aleksandar mitrovic,5
20639,aleksandar mitrovic,1
20640,aleksandar mitrovic,1
20641,aleksandar mitrovic,2
20642,aleksandar mitrovic,13
20643,aleksandar mitrovic,2
20644,aleksandar mitrovic,5
20645,aleksandar mitrovic,1
20646,aleksandar mitrovic,2
20647,aleksandar mitrovic,2
20648,aleksandar mitrovic,2
20649,aleksandar mitrovic,7
20650,aleksandar mitrovic,2
20651,aleksandar mitrovic,2
20652,aleksandar mitrovic,1
20653,aleksandar mitrovic,13
20654,aleksandar mitrovic,2
20655,aleksandar mitrovic,1
20656,aleksandar mitrovic,2
20657,aleksandar mitrovic,2
20658,aleksandar mitrovic,2
20659,aleksandar mitrovic,2
20660,aleksandar mitrovic,2
20661,aleksandar mitrovic,0
20662,aleksandar mitrovic,2
20663,aleksandar mitrovic,5
20664,aleksandar mitrovic,5
20665,aleksandar mitrovic,2
20666,aleksandar mitrovic,2
20667,aleksandar mitrovic,2
20668,alex iwobi,0
20669,alex iwobi,7
20670,alex iwobi,4
20671,alex iwobi,0
20672,alex iwobi,0
20673,alex iwobi,1
20674,alex iwobi,4
20675,alex iwobi,2
20676,alex iwobi,2
20677,alex iwobi,2
20678,alex iwobi,4
20679,alex iwobi,1
20680,alex iwobi,2
20681,alex iwobi,1
20682,alex iwobi,2
20683,alex iwobi,1
20684,alex iwobi,2
20685,alex iwobi,6
20686,alex iwobi,1
20687,alex iwobi,5
20688,alex iwobi,6
20689,alex iwobi,2
20690,alex iwobi,1
20691,alex iwobi,1
20692,alex iwobi,2
20693,alex iwobi,8
20694,alex iwobi,6
20695,alex iwobi,1
20696,alex iwobi,2
20697,alex iwobi,1
20698,alex iwobi,3
20699,alex iwobi,1
20700,alex iwobi,3
20701,alex iwobi,1
20702,alex iwobi,2
20703,alex iwobi,1
20704,alex iwobi,1
20705,alex iwobi,10
20706,alex mccarthy,11
20707,alex mccarthy,2
20708,alex mccarthy,2
20709,alex mccarthy,8
20710,alex mccarthy,0
20711,alex mccarthy,1
20712,alex mccarthy,2
20713,alex mccarthy,2
20714,alex mccarthy,6
20715,alex mccarthy,6
20716,alex mccarthy,0
20717,alex mccarthy,5
20718,alex mccarthy,1
20719,alex mccarthy,2
20720,alex mccarthy,2
20721,alex mccarthy,3
20722,alex mccarthy,1
20723,alex mccarthy,3
20724,alex mccarthy,2
20725,alex mccarthy,2
20726,alex mccarthy,0
20727,alex mccarthy,3
20728,alex mccarthy,2
20729,alex mccarthy,2
20730,alex mccarthy,4
20731,alex mccarthy,1
20732,alex mccarthy,0
20733,alex mccarthy,0
20734,alex mccarthy,0
20735,alex mccarthy,0
20736,alex mccarthy,0
20737,alex mccarthy,0
20738,alex mccarthy,0
